#,Vocabulary,Reading,Type,Meaning
1,あ,,Expression,Ah; oh
2,ああ,,Adverb,ah; yes
3,アフリカ,,"Noun, Katakana",Africa
4,上がる,あがる,"Verb, Godan verb, Intransitive verb",to rise
5,挨拶,あいさつ,"Noun, Suru verb",to greet
6,味,あじ,Noun,flavor; taste​; uniqueness; attractiveness; experience
7,アジア,,"Noun, Katakana",Asia
8,赤ちゃん,あかちゃん,Noun,baby; infant
9,赤ん坊,あかんぼう,Noun,baby; infant
10,アクセサリー,,"Noun, Katakana",accessory
11,アメリカ,,"Noun, Katakana",America
12,アナウンサー,,"Noun, Katakana",announcer
13,あんな,,Pre-noun adjectival,such
14,案内,あんない,"Noun, Suru verb",to guide
15,安心,あんしん,"Noun, Adjective, な-adjective, Suru verb",peace of mind
16,安全,あんぜん,"Noun, Adjective, な-adjective",safety; security​
17,アルバイト,,"Noun, Suru verb, Katakana",part-time job
18,アルコール,,"Noun, Katakana",alcohol
19,浅い,あさい,"Adjective, い-adjective",shallow
20,遊び,あそび,Noun,playing
21,集まる,あつまる,"Verb, Godan verb, Intransitive verb",to gather; to collect; to assemble
22,集める,あつめる,"Verb, Ichidan verb, Transitive verb",to collect; to assemble; to gather
23,謝る,あやまる,"Verb, Godan verb",to apologize
24,倍,ばい,Noun,double
25,番組,ばんぐみ,Noun,program (e.g. TV)
26,場所,ばしょ,Noun,place
27,ベル,,"Noun, Katakana",bell
28,美術館,びじゅつかん,Noun,art gallery; art museum
29,びっくり,,"Adverb, Suru verb",to be surprised
30,ビル,,"Noun, Katakana",building
31,僕,ぼく,Pronoun,I (used by males)
32,貿易,ぼうえき,"Noun, Suru verb",trade
33,部長,ぶちょう,Noun,"manager; head (chief, director) of a section or department"
34,ぶどう,,Noun,grapes
35,文学,ぶんがく,Noun,literature
36,文化,ぶんか,Noun,culture
37,文法,ぶんぽう,Noun,grammar
38,ちゃん,,Suffix,suffix for familiar female person
39,チェック,,"Noun, Suru verb, Katakana",to check
40,血,ち,Noun,blood
41,力,ちから,Noun,energy; force; strength; might; power
