#,Vocabulary,Reading,Type,Meaning
1,明かり,あかり,Noun,light; illumination; glow; gleam
2,明ける,あける,"Verb, Ichidan verb, Transitive verb","to dawn,to become daylight"
3,明らか,あきらか,"Adjective, な-adjective",clear; obvious
4,悪魔,あくま,Noun,devil; demon; fiend; Satan
5,暗記,あんき,"Noun, Verb, Suru verb",memorization; learning by heart
6,新た,あらた,"Noun, Adjective, な-adjective",new; fresh; novel
7,有らゆる,あらゆる,Pre-noun adjectival,all; every​
8,集まり,あつまり,Noun,gathering; meeting; assembly; collection; attendance
9,部分,ぶぶん,Noun,portion; section; part
10,分,ぶん,"Noun, Suffix",part; segment; share; ration
11,文明,ぶんめい,Noun,civilization; culture
12,分析,ぶんせき,"Noun, Verb, Suru verb",analysis
13,分野,ぶんや,Noun,field; sphere; realm; division; branch
14,父親,ちちおや,Noun,father
15,地平線,ちへいせん,Noun,horizon (related to land)​
16,地位,ちい,Noun,(social) position; status
17,長期,ちょうき,Noun,long-term
18,中,ちゅう,"Noun, Prefix, Suffix",during; while; medium; middle
19,中学,ちゅうがく,Noun,junior high school; middle school
20,昼食,ちゅうしょく,Noun,lunch; midday meal
21,大部分,だいぶぶん,Noun,most part; greater part; majority
22,駄目,だめ,"Noun, Adjective, な-adjective",no good; cannot
23,男子,だんし,Noun,youth; young man
24,出会い,であい,Noun,meeting; rendezvous; encounter
25,出会う,であう,Verb,to meet (by chance); to come across; to run across; to encounter
26,読書,どくしょ,"Noun, Verb, Suru verb",reading
27,努力,どりょく,"Noun, Verb, Suru verb",effort; exertion; endeavor; hard work; striving
28,同一,どういつ,"Adjective, な-adjective",identical; same; one and the same; equal
29,円,えん,Noun,yen; Japanese monetary unit; circle
30,不利,ふり,"Noun, Adjective, な-adjective",disadvantage; handicap; unfavorable position
31,不足,ふそく,"Noun, Adjective, な-adjective, Verb, Suru verb",insufficiency; shortage; deficiency; lack; dearth
32,再び,ふたたび,Adverb,again; once more; a second time
33,外交,がいこう,Noun,diplomacy
34,外出,がいしゅつ,"Noun, Verb, Suru verb","going out; outing; leaving (one's home, office, etc.)"
35,学期,がっき,Noun,school term; semester
36,学,がく,"Noun, Suffix",learning; education; study of
37,学問,がくもん,"Noun, Verb, Suru verb",scholarship; study; learning
38,学者,がくしゃ,Noun,scholar
39,学習,がくしゅう,"Noun, Verb, Suru verb",study; learning; tutorial
40,議長,ぎちょう,Noun,chairman; president; moderator
41,議会,ぎかい,Noun,congress; parliament; diet; legislative assembly
42,語学,ごがく,Noun,study of foreign languages; linguistics
43,激しい,はげしい,"Adjective, い-adjective",violent; extreme; intense
44,母親,ははおや,Noun,mother
45,博物館,はくぶつかん,Noun,museum
46,販売,はんばい,"Noun, Verb, Suru verb",sales; selling; marketing
47,発明,はつめい,"Noun, Adjective, な-adjective, Verb, Suru verb",invention
48,外す,はずす,"Verb, Godan verb, Transitive verb",to remove; to undo; to drop; to miss
49,品,ひん,Noun,"elegance, article"
50,一言,ひとこと,"Noun, Verb, Suru verb",single word; a few words; brief comment
51,一人一人,ひとりひとり,"Noun, Suffix",one by one; each; one at a time
52,本物,ほんもの,Noun,genuine article; real thing; real deal​
53,本人,ほんにん,Noun,the person in question; the person themselves; said person
54,一致,いっち,"Noun, Verb, Suru verb",agreement; union; match​; coincidence
55,一時,いちじ,Noun,one o'clock
56,意外,いがい,"Adjective, な-adjective, Adverb",unexpected; surprising
57,一家,いっか,Noun,a family; a household; a home; one's family; whole family
58,今に,いまに,Adverb,before long; even now
