#,Grammar,Reading,Meaning,Source
1,敢えて,（あえて）,dare to; daringly; deliberately; purposely ~,https://jlptsensei.com/learn-japanese-grammar/%e6%95%a2%e3%81%88%e3%81%a6-%e3%81%82%e3%81%88%e3%81%a6-aete-meaning/
2,あくまでも,,to the end; persistently; absolutely; is still very ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%8f%e3%81%be%e3%81%a7%e3%82%82-akumade-mo-meaning/
3,案の定,（あんのじょう）,just as one thought; as usual; sure enough,https://jlptsensei.com/learn-japanese-grammar/%e6%a1%88%e3%81%ae%e5%ae%9a-%e3%81%82%e3%82%93%e3%81%ae%e3%81%98%e3%82%87%e3%81%86-an-no-jou-meaning/
4,あらかじめ,,beforehand; in advance; previously​,https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%82%89%e3%81%8b%e3%81%98%e3%82%81-arakajime-meaning/
5,あっての,,which can exist solely due to the presence of; which owes everything to,https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%a3%e3%81%a6%e3%81%ae-atte-no-meaning/
6,ばこそ,,only because ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%93%e3%81%9d-ba-koso-meaning/
7,ばそれまでだ / たらそれまでだ,,if… then it’s over,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%9d%e3%82%8c%e3%81%be%e3%81%a7%e3%81%a0-%e3%81%9f%e3%82%89%e3%81%9d%e3%82%8c%e3%81%be%e3%81%a7%e3%81%a0-ba-sore-made-da-meaning/
8,べからず / べからざる,,must not; should not; do not ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8b%e3%82%89%e3%81%9a-%e3%81%b9%e3%81%8b%e3%82%89%e3%81%96%e3%82%8b-bekarazu-bekarazaru-meaning/
9,べく,,in order to; for the purpose of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8f-beku-meaning/
10,べくもない,,cannot possibly be ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8f%e3%82%82%e3%81%aa%e3%81%84-beku-mo-nai-meaning/
11,べくして,,as it is bound to (happen); following the natural course,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8f%e3%81%97%e3%81%a6-beku-shite-meaning/
12,びる / びて / びた,,to seem to be; to appear; to behave as ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b3%e3%82%8b-biru-%e3%81%b3%e3%81%9f-bita-%e3%81%b3%e3%81%a6-bite-meaning/
13,ぶり / っぷり,,style; manner; way​,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b6%e3%82%8a-%e3%81%a3%e3%81%b7%e3%82%8a-buri-ppuri-meaning/
14,ぶる / ぶって / ぶった,,assuming the air of; behaving like; to pretend / act like ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b6%e3%82%8b-%e3%81%b6%e3%81%a3%e3%81%a6-%e3%81%b6%e3%81%a3%e3%81%9f-buru-butte-butta-meaning/
15,だに / だにしない,,even; not even ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%ab-%e3%81%a0%e3%81%ab%e3%81%97%e3%81%aa%e3%81%84-dani-shinai-meaning/
16,だの～だの,,and; and the like; and so forth ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%ae%ef%bd%9e%e3%81%a0%e3%81%ae-dano-dano-meaning/
17,だろうに,,"(1) surely..., but ~; although... is likely, ~ (2) should have (regret); might / must have been ~",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%82%8d%e3%81%86%e3%81%ab-darou-ni-meaning/
18,であれ / であろうと,,whoever; whatever; however; even ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%82%e3%82%8c-%e3%81%a7%e3%81%82%e3%82%8d%e3%81%86%e3%81%a8-de-are-de-arou-meaning/
19,であれ～であれ,,whether [A] or [B],https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%82%e3%82%8c%ef%bd%9e%e3%81%a7%e3%81%82%e3%82%8c-de-are-de-are-meaning/
20,でもあり～でもある,,to also be; both… and ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%82%82%e3%81%82%e3%82%8a%ef%bd%9e%e3%81%a7%e3%82%82%e3%81%82%e3%82%8b-demo-ari-demo-aru-meaning/
21,でも何でもない / くも何ともない,（でもなんでもない / くもなんともない）,not in the least; nothing like that,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%82%82%e4%bd%95%e3%81%a7%e3%82%82%e3%81%aa%e3%81%84-%e3%81%8f%e3%82%82%e4%bd%95%e3%81%a8%e3%82%82%e3%81%aa%e3%81%84-demo-nan-demo-nai-meaning/
22,でなくてなんだろう,,must be; is definitely ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%aa%e3%81%8f%e3%81%a6%e3%81%aa%e3%82%93%e3%81%a0%e3%82%8d%e3%81%86-denakute-nan-darou-meaning/
23,ではあるまいか,,isn't it; I wonder if it’s not ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%af%e3%81%82%e3%82%8b%e3%81%be%e3%81%84%e3%81%8b-dewa-arumai-ka-meaning/
24,ではあるまいし,,it’s not like; it isn’t as if ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%af%e3%81%82%e3%82%8b%e3%81%be%e3%81%84%e3%81%97-dewa-arumai-shi-meaning/
25,では済まない,（ではすまない）,it doesn’t end with just ~; it will take more than ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%af%e6%b8%88%e3%81%be%e3%81%aa%e3%81%84-dewa-sumanai-meaning/
26,どうにも～ない,,"not … by any means; no matter how hard one tries, cannot ~",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%81%86%e3%81%ab%e3%82%82%ef%bd%9e%e3%81%aa%e3%81%84-dou-nimo-nai-meaning/
27,が早いか,（がはやいか）,no sooner than; as soon as ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c%e6%97%a9%e3%81%84%e3%81%8b-ga-hayai-ka-meaning/
28,が/も～なら、～も～だ,,negative connection/comparison (like father like son),https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c-%e3%82%82%ef%bd%9e%e3%81%aa%e3%82%89%ef%bd%9e%e3%82%82%ef%bd%9e%e3%81%a0-ga-mo-nara-mo-da-meaning/
