#,Vocabulary,Reading,Type,Meaning,Sentence JP,Sentence EN
1,あ,,Expression,Ah; oh,あ、分かった。じゃあまた今度。,"Oh, ok. Another time then."
2,ああ,,Adverb,ah; yes,ああ、君か。びっくりしたよ。,"Oh, you spooked me."
3,アフリカ,,"Noun, Katakana",Africa,私の夢はアフリカで働くことです。,My dream is to work in Africa.
4,上がる,あがる,"Verb, Godan verb, Intransitive verb",to rise,その会社の株は上がっている。,Stocks of the company are rising .
5,挨拶,あいさつ,"Noun, Suru verb",to greet,そちらにご挨拶に伺いたい。,I want to go there to make greetings.
6,味,あじ,Noun,flavor; taste​; uniqueness; attractiveness; experience,この料理は味が強い。,This dish has a strong taste.
7,アジア,,"Noun, Katakana",Asia,ヨーロッパはアジアより人口が少ない。,Europe has a smaller population than Asia.
8,赤ちゃん,あかちゃん,Noun,baby; infant,赤ちゃんはいつ出産のよていですか。,When's the baby due?
9,赤ん坊,あかんぼう,Noun,baby; infant,赤ん坊は泣きやんだ。,The baby stopped crying.
10,アクセサリー,,"Noun, Katakana",accessory,これはアクセサリーではありません。,This is not an accessory.
11,アメリカ,,"Noun, Katakana",America,彼はアメリカへ行った。,He has gone to America.
12,アナウンサー,,"Noun, Katakana",announcer,あの子のお母さんはアナウンサーです。,The mother of that child is an announcer.
13,あんな,,Pre-noun adjectival,such,私はあんな先生を見たことがありません。,I have never seen the teacher like that before.
14,案内,あんない,"Noun, Suru verb",to guide,この会社のサイトを案内します。,I will guide you this company's site.
15,安心,あんしん,"Noun, Adjective, な-adjective, Suru verb",peace of mind,私はそれを飲むと安心する。,I feel calm drinking that.
16,安全,あんぜん,"Noun, Adjective, な-adjective",safety; security​,私たちの会社は安全をモットーとしています。,Our company's motto is safety.
17,アルバイト,,"Noun, Suru verb, Katakana",part-time job,今日はアルバイトの面接に行きました。,I went to a part-time job interview today.
18,アルコール,,"Noun, Katakana",alcohol,私はアルコールを飲みません。,I never drink alcohol.
19,浅い,あさい,"Adjective, い-adjective",shallow,彼女は浅い眠りから目覚めた。,She woke up from a light sleep.
20,遊び,あそび,Noun,playing,私は遊びと勉強を楽しみます。,I enjoy playing and studying.
21,集まる,あつまる,"Verb, Godan verb, Intransitive verb",to gather; to collect; to assemble,素敵な店には人が集まっている。,People are gathering in the lovely store.
22,集める,あつめる,"Verb, Ichidan verb, Transitive verb",to collect; to assemble; to gather,今それを集めている。,I'm collecting that now.
23,謝る,あやまる,"Verb, Godan verb",to apologize,あなたは謝るひつようがないです。,You don't need to apologize.
24,倍,ばい,Noun,double,社長は私の歳の２倍です。,My boss is twice as old as I am.
25,番組,ばんぐみ,Noun,program (e.g. TV),この番組はマンネリになっている。,This program has become stereotyped.
26,場所,ばしょ,Noun,place,そのばしょはとても混んでいました。,That place was very crowded.
27,ベル,,"Noun, Katakana",bell,学校のベルが鳴るのが聞こえた。,I heard the school bell ring.
28,美術館,びじゅつかん,Noun,art gallery; art museum,このバスは美術館行きです。,This bus is bound for the art gallery.
29,びっくり,,"Adverb, Suru verb",to be surprised,私は本当にびっくりしたよ。,I was very surprised.
30,ビル,,"Noun, Katakana",building,このビルは私の父が設計した。,My dad designed this building.
31,僕,ぼく,Pronoun,I (used by males),僕はその試合に勝った。,I won that match.
32,貿易,ぼうえき,"Noun, Suru verb",trade,彼女はぼうえき会社で働いています。,She is working in a trade company.
33,部長,ぶちょう,Noun,"manager; head (chief, director) of a section or department",私の友人が既にその部長に私の事を紹介してくれています。,My best friend has already introduced me to the department director.
34,ぶどう,,Noun,grapes,私はぶどうが好きだから、秋になるのが楽しみです。,I like grapes so I look forward that fall is coming.
35,文学,ぶんがく,Noun,literature,私は日本の近代文学に関するこの本をまだ読んでいません。,I have not read this book on Japanese modern literature yet.
36,文化,ぶんか,Noun,culture,あなたは日本の文化のどんな所が好きですか？,What do you like about Japanese culture?
37,文法,ぶんぽう,Noun,grammar,私にとって日本語の文法を覚えるのはむずかしい。,Mastering Japanese grammar is difficult for me.
38,ちゃん,,Suffix,suffix for familiar female person,僕のおじいちゃんはテニスを楽しんでいます。,My grandpa is enjoying tennis.
39,チェック,,"Noun, Suru verb, Katakana",to check,それらをチェックしてくれる？,Can you please check them?
40,血,ち,Noun,blood,私はちを見ると目眩がする。,The sight of blood makes my head turn.
41,力,ちから,Noun,energy; force; strength; might; power,私たちはそれの開発にとても力を入れている。,We are putting a lot of work in to that development.
42,地理,ちり,Noun,geography,私は数学と地理が苦手だ。,I am not good at math and geography.
43,中学校,ちゅうがっこう,Noun,junior high school; middle school,私は中学校の時サッカーを始めました。,I started playing soccer in my middle school days.
44,注意,ちゅうい,"Noun, Suru verb",caution,どうか安全にちゅういしてください。,Please pay attention to safety.
45,注射,ちゅうしゃ,"Noun, Suru verb",injection,私はちゅうしゃを見ただけで気持ちが悪くなります。,I feel sick just watching injections.
46,駐車場,ちゅうしゃじょう,Noun,parking lot,このカードは駐車場に落ちていました。,This card was dropped somewhere in the parking lot.
47,大分,だいぶ,Adverb,considerably; greatly; a lot​,この家には大分金がかかりました。,This house cost a considerable amount of money to build.
48,大学生,だいがくせい,Noun,university student; college student,あなたも大学生ですか？,Are you also a university student?
49,大事,だいじ,"Adjective, な-adjective",important; serious; crucial,これには大事な点が2つあります。,There are two important points to this.
50,大体,だいたい,Noun,roughly,それはだいたいいくらになりますか？,Roughly how much is that going to be?
51,暖房,だんぼう,"Noun, Suru verb",heating,寒くなったから暖房をつけてください。,"It's getting cold, so please turn on the heating."
52,男性,だんせい,Noun,man; male,私は２２才の男性です。,I am a 22 year old male.
53,できるだけ,,"Adverb, Expression",as much as possible,私はできるだけ速く走る。,I will run as fast as possible.
54,電報,でんぽう,Noun,telegram,誰が私に電報をよこしたのか。,Who sent me the telegram?
55,電灯,でんとう,Noun,electric light,彼はでんとうを消し忘れた。,He forgot to turn off the light.
56,どんどん,,Adverb,rapidly; more and more,それはどんどん悪くなっている。,That is rapidly getting worse.
57,泥棒,どろぼう,Noun,thief,夕べに彼の家はどろぼうに入られた。,His house was broken into last night.
58,動物園,どうぶつえん,Noun,zoo; zoological gardens,私は何度もその動物園へ行ったことがあります。,I have been to that zoo many times.
59,道具,どうぐ,Noun,tool,その道具は会社でも家でも使うことが出来ます。,I can use this tool at the company and at home.
60,枝,えだ,Noun,branch,猫は枝の間にかくれた。,The cat hid among the branches.
61,遠慮,えんりょ,"Noun, Suru verb",reserve; refraining,コメントするのを遠慮させてください。,Please let me refrain from making a comment.
62,選ぶ,えらぶ,"Verb, Godan verb, Transitive verb",to choose,私がこれを選ぶのは正しいですか？,Am I correct in choosing this?
63,エスカレーター,,"Noun, Katakana",escalator,あなたはあちらのエスカレーターで4階へ上ってください。,Please go up to the fourth floor using that escalator.
64,ファックス,,"Noun, Suru verb, Katakana",fax,できるだけ早くこのファックスを送って下さい。,Please get this fax off as soon as you can.
65,不便,ふべん,"Noun, Adjective, な-adjective",inconvenience,それはとても不便です。,That is very inconvenient.
66,増える,ふえる,"Verb, Ichidan verb, Intransitive verb",to increase,私たちはぶかつの時間が増える。,Our club activities time is increasing.
67,深い,ふかい,"Adjective, い-adjective",deep,机の上にはふかいかき傷があった。,There were deep scratches on the desk.
68,復習,ふくしゅう,"Noun, Verb, Suru verb",review (of learned material); revision,私は習った事を復習した。,I reviewed the things I learned.
69,複雑,ふくざつ,"Noun, Adjective, な-adjective",complexity; complication,私の家族はふくざつな関係です。,My family has a complex relationship.
70,踏む,ふむ,"Verb, Godan verb, Transitive verb",to step on,彼女は私の足を踏んでしまって申し訳ないと言った。,She said I'm sorry for stepping on my foot.
71,舟,ふね,Noun,ship,ここでふねを借りることが出来ますか？,Can I rent a boat here?
72,降り出す,ふりだす,"Verb, Godan verb, Intransitive verb",to start to rain,雨が降り出す前にしゅっぱつした方がいいだろう。,We had better start before it begins to rain.
73,布団,ふとん,Noun,"Japanese bedding, futon",あなたに合った布団を作ります。,I will use bedding that suits you.
74,太る,ふとる,"Verb, Godan verb, Intransitive verb",to become fat,いつから私はこんなに太ったのでしょうか。,When did I get this fat?
75,普通,ふつう,"Noun, Adverb",usually,彼女は普通に動いています。,She works normally.
76,ガラス,,"Noun, Katakana",a glass,あの車はガラスのドアを突進した。,That car rushed through the glass door.
77,ガソリン,,"Noun, Katakana",gasoline; petrol,私の兄はガソリンの店で働いています。,My brother works at a gasoline store.
78,ガソリンスタンド,,"Noun, Katakana",petrol station,近くにガソリンスタンドがありますか？,Is there a gas station nearby?
79,ガス,,"Noun, Katakana",petrol,私の家にはガスが引いてある。,We have gas laid on in the house.
80,原因,げんいん,"Noun, Suru verb",cause,僕はその原因を調べました。,I investigated that cause.
81,下宿,げしゅく,"Noun, Suru verb",lodging,僕のげしゅくは食べ物がとても美味しいです。,The food in my boarding house is very delicious.
82,技術,ぎじゅつ,Noun,"art,technology,skill",このぎじゅつは新しいですか。,Is this technique new?
83,ごちそう,,"Noun, Suru verb",a feast,私はそこで焼肉をごちそうになりました。,I was treated to yakiniku there.
84,ごみ,,Noun,rubbish,私はごみを分別します。,I separate my garbage.
85,ご覧になる,ごらんになる,"Verb, Godan verb, Expression",(respectful) to see,もし興味がありましたら、ぜひご覧になってください。,"If you are interested, please do have a look."
86,ご主人,ごしゅじん,Noun,your husband; her husband,あなたのご主人にバースデーケーキを送ります。,I will send your husband a birthday cake.
87,ご存じ,ごぞんじ,Noun,knowing,あの人をご存じですか。,Do you know that man?
88,具合,ぐあい,Noun,condition; health,あなたの最近の具合はどうですか？,How do you feel recently?
89,葉,は,Noun,leaves; leaf,この木の葉は秋に黄色になる。,The leaves of this tree turn yellow in autumn.
90,拝見,はいけん,"Noun, Suru verb",seeing; looking at​,私はその画像をはいけんしました。,I saw that image.
91,歯医者,はいしゃ,Noun,dentist,あなたの父ははいしゃでしたね？,"Your father is a dentist, right?"
92,はっきり,,Adverb,clearly,それはまだはっきり決まっていない。,That hasn't been clearly decided on.
93,運ぶ,はこぶ,"Verb, Godan verb, Transitive verb",to carry,あなたはこの荷物をトラックで運ぶのですか？,Will you carry this baggage on the truck?
94,花見,はなみ,"Noun, Verb, Suru verb",cherry blossom viewing; flower viewing,私はお花見の時に、春を感じます。,I feel spring when I go cherry blossom viewing.
95,ハンドバッグ,,"Noun, Katakana",handbag,彼女はハンドバッグを盗まれた。,She had her handbag stolen.
96,反対,はんたい,"Noun, Adjective, な-adjective, Suru verb",opposition,彼のいけんに反対するつもりです。,I intend to oppose his opinion.
97,払う,はらう,"Verb, Godan verb, Transitive verb",to pay,それはあとで私が払ってもいいですか。,Can I pay for it later?
98,発音,はつおん,"Noun, Suru verb",pronunciation,私はこのレッスンで発音の方法を学びました。,I learned how to pronounce at this lesson.
99,林,はやし,Noun,woods; forest,私は林の中で道に迷った。,I lost my way in the forest.
100,恥ずかしい,はずかしい,"Adjective, い-adjective",embarrassed,それを忘れていて恥ずかしいです。,I am embarrassed that I had forgotten about that.
101,変,へん,"Noun, Adjective, な-adjective",strange; peculiar; weird,このチーズは変な味がする。,This cheese has a peculiar taste.
102,返事,へんじ,"Noun, Suru verb",reply; answer; response,私たちは明日にへんじできると思います。,I think we can reply tomorrow.
