#,Vocabulary,Reading,Type,Meaning,Sentence JP,Sentence EN
1,明かり,あかり,Noun,light; illumination; glow; gleam,明かりが消えた。,The light went out.
2,明ける,あける,"Verb, Ichidan verb, Transitive verb","to dawn,to become daylight",家を明ける。,To clear out a house / leave a house.
3,明らか,あきらか,"Adjective, な-adjective",clear; obvious,明らかに彼の責任だ。,It's clearly his fault/responsibility.
4,悪魔,あくま,Noun,devil; demon; fiend; Satan,一度悪魔になると、ずっと悪魔でいなければならない。,"Once a devil, always a devil."
5,暗記,あんき,"Noun, Verb, Suru verb",memorization; learning by heart,この文章を暗記するのに２時間かかった。,It took me two hours to memorize this sentence.
6,新た,あらた,"Noun, Adjective, な-adjective",new; fresh; novel,彼は新たに家を建てた。,He has had a new house built.
7,有らゆる,あらゆる,Pre-noun adjectival,all; every​,彼はあらゆる希望を失った。,He lost all hope.
8,集まり,あつまり,Noun,gathering; meeting; assembly; collection; attendance,今回の集まりが予想外に良かった。,This gathering went better than I expected.
9,部分,ぶぶん,Noun,portion; section; part,この電気自動車の最も魅力的な部分はなんですか？,What's the most appealing part about this electric car?
10,分,ぶん,"Noun, Suffix",part; segment; share; ration,私はあなたの分も予約しますね。,I will also reserve your portion.
11,文明,ぶんめい,Noun,civilization; culture,近東は文明の発祥地である.,The Near East is the cradle of civilization.
12,分析,ぶんせき,"Noun, Verb, Suru verb",analysis,私は彼にそれの分析を依頼した。,I asked him to analyze that.
13,分野,ぶんや,Noun,field; sphere; realm; division; branch,あなたの専門分野は何ですか？,What do you specialize in?
14,父親,ちちおや,Noun,father,彼の父親は医者です。,His father is a doctor.
15,地平線,ちへいせん,Noun,horizon (related to land)​,太陽はまだ地平線の上にある。,The sun is still above the horizon.
16,地位,ちい,Noun,(social) position; status,彼の地位が高くなった。,His social status improved.
17,長期,ちょうき,Noun,long-term,彼はあまり長期間日本にいません。,He won't be in Japan for a long time.
18,中,ちゅう,"Noun, Prefix, Suffix",during; while; medium; middle,彼らは今年中に結婚すると言われている。,It is said that they are going to get married by the end of the week.
19,中学,ちゅうがく,Noun,junior high school; middle school,今日は中学の友だちと祭りに行きました。,I went to a festival today with my middle school friend.
20,昼食,ちゅうしょく,Noun,lunch; midday meal,昼食は普通 12 時です。,We usually have lunch at noon.
21,大部分,だいぶぶん,Noun,most part; greater part; majority,大部分の客は外国人だった。,The greater part of the guests were foreigners.
22,駄目,だめ,"Noun, Adjective, な-adjective",no good; cannot,私は駄目な人間です。,I am a no-good person.
23,男子,だんし,Noun,youth; young man,この学校の３分の２が男子生徒です。,Two-thirds of the students of this school are boys.
24,出会い,であい,Noun,meeting; rendezvous; encounter,それは私にとって大切な出会いでした。,"To me, that was a very precious encounter."
25,出会う,であう,Verb,to meet (by chance); to come across; to run across; to encounter,あなたと出会うタイミングが遅すぎた。,The timing of me meeting you is too late.
26,読書,どくしょ,"Noun, Verb, Suru verb",reading,読書は僕の生命だ。,Reading is my life.
27,努力,どりょく,"Noun, Verb, Suru verb",effort; exertion; endeavor; hard work; striving,努力します。,I will try hard.
28,同一,どういつ,"Adjective, な-adjective",identical; same; one and the same; equal,その安藤さんというのは私の知っている人と同一人物だろうか。,Is this the same Ando (person) that I know?
29,円,えん,Noun,yen; Japanese monetary unit; circle,"月の円周はほぼ 7,000 マイルだ。","The moon is about 7,000 miles in circumference."
30,不利,ふり,"Noun, Adjective, な-adjective",disadvantage; handicap; unfavorable position,判決は彼に不利だった。,The judgement was against him.
31,不足,ふそく,"Noun, Adjective, な-adjective, Verb, Suru verb",insufficiency; shortage; deficiency; lack; dearth,私は寝不足です。,I don't get enough sleep.
32,再び,ふたたび,Adverb,again; once more; a second time,10年後にようやく彼は、再び故郷の町を見た。,He finally saw his hometown again after ten years.
33,外交,がいこう,Noun,diplomacy,最近、外交関係がよくない。,"Lately, diplomatic relations have not been good."
34,外出,がいしゅつ,"Noun, Verb, Suru verb","going out; outing; leaving (one's home, office, etc.)",彼は外出中です。,He is out right now.
35,学期,がっき,Noun,school term; semester,学期は終りに近い。,The term is near it's end.
36,学,がく,"Noun, Suffix",learning; education; study of,私は経営学科を専攻した。,I majored in business administration.
37,学問,がくもん,"Noun, Verb, Suru verb",scholarship; study; learning,好きな学問は何ですか？,What's your favorite subject?
38,学者,がくしゃ,Noun,scholar,私の夢は科学者になることです。,My dream is to become a scientist.
39,学習,がくしゅう,"Noun, Verb, Suru verb",study; learning; tutorial,彼は学習する機会を最大限に利用するべきだ。,He should make the most of his chance to learn.
40,議長,ぎちょう,Noun,chairman; president; moderator,議長が開会を宣言する。,The chairman declares the meeting open.
41,議会,ぎかい,Noun,congress; parliament; diet; legislative assembly,議会は国民を代表します。,The Congress is representative of the people.
42,語学,ごがく,Noun,study of foreign languages; linguistics,私は語学学校に通っています。,I am going to a language school.
43,激しい,はげしい,"Adjective, い-adjective",violent; extreme; intense,彼女は好き嫌いが激しいのですね。,"She is really picky, isn't she?"
44,母親,ははおや,Noun,mother,こちらが私の母親です。,This is my mother.
45,博物館,はくぶつかん,Noun,museum,博物館へ行く道を教えてくれますか。,Will you please tell me the way to the museum?
46,販売,はんばい,"Noun, Verb, Suru verb",sales; selling; marketing,彼は販売を担当している。,He is in charge of sales.
47,発明,はつめい,"Noun, Adjective, な-adjective, Verb, Suru verb",invention,印刷術はいつ発明されましたか。,When was printing invented?
48,外す,はずす,"Verb, Godan verb, Transitive verb",to remove; to undo; to drop; to miss,それをリストから外してください。,Leave it off the list.
49,品,ひん,Noun,"elegance, article",前菜は３品ご用意しております。,We prepared three dishes for the appetizer.
50,一言,ひとこと,"Noun, Verb, Suru verb",single word; a few words; brief comment,私は彼と一言も話さなかった。,I didn't say one word to him.
51,一人一人,ひとりひとり,"Noun, Suffix",one by one; each; one at a time,私は財産の半分を彼らの一人一人に分配した。,I apportioned half the property to each of them.
52,本物,ほんもの,Noun,genuine article; real thing; real deal​,本物を見れて嬉しかったです。,I was happy to be able to see the real thing.
53,本人,ほんにん,Noun,the person in question; the person themselves; said person,本人確認書類として運転免許証、健康保険証、パスポートのいずれかをお持ち下さい。,"Please bring your driver's license, medical insurance certificate or passport as a proof of your identity."
54,一致,いっち,"Noun, Verb, Suru verb",agreement; union; match​; coincidence,この理念は私の考えとぴったりと一致する。,This idea coincides exactly with my thinking.
55,一時,いちじ,Noun,one o'clock,私は一時間自由だ。,I have an hour free.
56,意外,いがい,"Adjective, な-adjective, Adverb",unexpected; surprising,意外なところに宝があるものだ。,You will find treasures in unsuspected corners.
57,一家,いっか,Noun,a family; a household; a home; one's family; whole family,一家の主人である女性。,A woman who is the head of a household
58,今に,いまに,Adverb,before long; even now,今にいい事もあるさ。,Good things are coming your way.
59,今にも,いまにも,Adverb,at any moment; at any minute; on the verge of,彼は今にも来るかと待っている。,I expect him to come at any moment now.
60,一般,いっぱん,"Noun, Adjective, な-adjective",general; universal; ordinary; average; common,彼らは一般的な若者です。,They are typical young people.
61,一方,いっぽう,Noun,one (esp. of two); one way; the other direction; although,契約を一方的に無効とする。,The contract will be arbitrarily voided.
62,一生,いっしょう,Noun,whole life; a lifetime; a generation,あなたは私の一生の親友です。,You are my best friend for life.
63,一種,いっしゅ,"Noun, Adverb",species; kind; variety,「これは何ですか？」「それは果物の一種です。」,"“What's this?"" “It's a kind of fruit."""
64,一瞬,いっしゅん,Noun,instant; moment; for an instant,明るい光に一瞬目がくらんだ。,The bright lights blinded me for a moment.
65,一層,いっそう,"Noun, Adverb",much more; still more; all the more; single layer; sooner; preferably​,彼女はこれで一層有名になった。,She became more famous with that.
66,一体,いったい,"Noun, Adverb",(what) the heck; (why) in the world,この騒ぎは一体なんですか?,What is this fuss all about?
67,所謂,いわゆる,Pre-noun adjectival,what is called; as it is called; the so-called; so to speak​,彼女は所謂ジャンクフードを食べる。,She eats so-called junk food.
68,邪魔,じゃま,"Noun, Adjective, な-adjective, Suru verb",hindrance,私が電話している間は邪魔をしないでください。,Please don't interrupt me while I'm on the phone.
69,化学,かがく,Noun,chemistry,化学の試験は難しすぎるだった。,The chemistry exam was too difficult!
70,会,かい,"Noun, Suffix",meeting; assembly; party; association; club,これは最後の機会かもしれない。,This might be my last chance.
71,会員,かいいん,Noun,member,あなたはこのグループの会員ですか。,Are you a member of this group?
72,海外,かいがい,"Noun, Adjective",foreign; abroad; overseas,彼は10日から海外出張です。,He will be on a business trip from the 10th.
73,会合,かいごう,"Noun, Verb, Suru verb",meeting; assembly; gathering; association,私たちは彼にその会合に参加してもらいたいです。,We'd like him to participate in that meeting.
74,会計,かいけい,Noun,finance; account; treasurer; bill,お会計はご一緒ですか？,Will you pay together?
75,開始,かいし,"Noun, Verb, Suru verb",start; commencement; beginning; initiation​,すぐに作業を開始できますか。,Can you start the work immediately?
76,科目,かもく,Noun,(school) subject; curriculum; course,あなたの得意な科目は何ですか？,What subject are you good at?
77,権利,けんり,Noun,right; privilege,私には自分のスケジュールを決める権利がない。,I do not have the right to decide my own schedule.
78,基本,きほん,Noun,basics; fundamentals; basis; foundation,基本的にあなたの意見に賛成です。,"Basically, I agree with your opinion."
79,記事,きじ,Noun,article; news story; report; account,ニュース記事を書くのが彼の仕事だ。,Writing news articles is his job.
80,気味,きみ,Noun,sensation; feeling​; tendency,新入社員は緊張気味の顔をしています。,The new employee looks a little bit nervous.
81,記念,きねん,"Noun, Verb, Suru verb",commemoration; celebration; honoring the memory of something,7月4日は独立記念日です。,July 4 is Independence Day.
82,気に入る,きにいる,"Verb, Godan verb, Expression",to like; to take a liking to,彼女はそれを気に入るに違いない。,There's no doubt she's going to like it.
83,記入,きにゅう,"Noun, Verb, Suru verb",entry; filling in; filling out,このアンケートにご記入お願います。,Please fill out this questionnaire.
84,記憶,きおく,"Noun, Verb, Suru verb",memory; recollection; remembrance,かすかに記憶している。,I have a faint recollection of it.
85,記者,きしゃ,Noun,reporter; journalist,彼は朝日の記者だ。,He's a reporter for Asahi.
86,期待,きたい,"Noun, Verb, Suru verb",expectation; anticipation; hope,私は期待で一杯です。,I am full of hope.
