#,Vocabulary,Reading,Type,Meaning,Sentence JP,Sentence EN
1,明くる,あくる,Pre-noun adjectival,"next (day, morning, etc.); following",あくる年,next year
2,読者,どくしゃ,Noun,reader,彼は熱心な漫画の読者だ。,He is an avid reader of manga comics.
3,本の,ほんの,Pre-noun adjectival,mere; only; just; slight​,ほんの冗談だよ。,I'm just joking!
4,実の,じつの,Pre-noun adjectival,"true; real; blood-related; biological (father, etc.)",実の親。,One's true parent.
5,聞き取り,ききとり,Noun,listening comprehension; hearing what others say,日本語の聞き取りが特に苦手です。,I am especially bad at Japanese listening comprehension.
6,購買,こうばい,"Noun, Verb, Suru verb",procurement; purchase; buying,米が高いので農家の購買力を増した。,The high price of rice has increased the purchasing-power of farmers.
7,購読,こうどく,"Noun, Verb, Suru verb","buying and reading (book, magazine, etc.); subscribing (newspaper)",私はこの雑誌を購読中です。,I am subscribed to this magazine.
8,購入,こうにゅう,"Noun, Verb, Suru verb",purchase; buy,私はその車を購入することが出来ません。,I cannot purchase that car.
9,小売,こうり,"Noun, Verb, Suru verb",retail,小売店に対する営業を担当しています。,I am in charge for sales to retail stores.
10,前売り,まえうり,Noun,advance sale; booking,前売り券をここで取り扱っていますか。,Do you sell advance tickets here?
11,主なる,おもなる,Pre-noun adjectival,main; principal; important,主なる都会は鉄道が通じている。,The main towns are connected by railways.
12,新築,しんちく,"Noun, Verb, Suru verb",new building; new construction,彼は新築の注文を受けた。,He received a commission to build a new house.
13,新人,しんじん,Noun,new face; newcomer; rookie; fresh recruit,新人はよく簡単なミスを起こす。,New workers often make simple mistakes.
14,新婚,しんこん,"Noun, Verb, Suru verb",newly-wed; newly married,３年前、私たちは新婚旅行でイギリスに行きました。,We went to England on a honeymoon trip three years ago.
15,とんだ,,"Pre-noun adjectival, Adverb",unthinkable; unimaginable; very,とんだことをしてくれた。,What have you done!
16,売り出し,うりだし,Noun,(bargain) sale,これらの新車は売り出し中です。,These new cars are on sale.
17,売り出す,うりだす,"Verb, Godan verb, Transitive verb",to put on the market; to put on sale; to begin selling,この品はもう売り出している。,These goods are on sale already.
